T.ms,PAA.X.radsec^2,PAA.Y.radsec^2,PAA.Z.radsec^2,PAA.R.radsec^2,PAV.X.radsec,PAV.Y.radsec,PAV.Z.radsec,PAV.R.radsec,PLA.X.msec^2,PLA.Y.msec^2,PLA.Z.msec^2,PLA.R.msec^2,PLV.X.msec,PLV.Y.msec,PLV.Z.msec,PLV.R.msec
0,-32.213,75.698,11.186,83.024,0.709,-0.457,0.418,0.941,-11.863,-8.275,21.037,25.529,0,0,0,0
0.3125,-27.665,108.189,19.428,113.347,0.695,-0.432,0.422,0.921,-13.725,-8.01,24.187,28.94,0,0,0,0
0.625,-20.432,146.266,29.443,150.593,0.68,-0.399,0.427,0.897,-15.84,-7.688,27.875,32.97,0,0,0,0
0.9375,-10.005,190.09,41.363,194.795,0.665,-0.356,0.434,0.87,-18.201,-7.304,32.115,37.63,0,0,0,0
1.25,4.107,239.738,55.297,246.066,0.65,-0.302,0.442,0.842,-20.788,-6.853,36.909,42.912,0,0,0,0
1.5625,22.337,295.224,71.326,304.539,0.637,-0.236,0.453,0.816,-23.573,-6.333,42.245,48.79,0,0,0,0
1.875,45.045,356.491,89.493,370.302,0.625,-0.156,0.466,0.795,-26.519,-5.739,48.097,55.222,0,0,0,0
2.1875,72.492,423.385,109.791,443.355,0.617,-0.06,0.483,0.786,-29.576,-5.07,54.426,62.15,0,0,0,0
2.5,104.824,495.638,132.148,523.554,0.613,0.052,0.503,0.795,-32.689,-4.324,61.177,69.498,0,0,0,0
2.8125,142.049,572.845,156.417,610.57,0.616,0.182,0.528,0.832,-35.79,-3.5,68.281,77.171,0,0,0,0
3.125,184.013,654.437,182.36,703.849,0.627,0.333,0.558,0.903,-38.804,-2.599,75.651,85.063,0,0,0,0
3.4375,230.38,739.659,209.636,802.569,0.648,0.504,0.596,1.014,-41.65,-1.62,83.189,93.047,0,0,0,0
3.75,280.616,827.544,237.796,905.605,0.682,0.699,0.64,1.168,-44.238,-0.565,90.778,100.985,0,0,0,0
4.0625,333.973,916.898,266.27,1011.503,0.731,0.919,0.693,1.364,-46.477,0.563,98.288,108.724,0,0,0,0
4.375,389.48,1006.28,294.369,1118.458,0.797,1.166,0.756,1.602,-48.273,1.761,105.577,116.103,0,0,0,0
4.6875,445.944,1094,321.283,1224.306,0.883,1.442,0.83,1.883,-49.53,3.024,112.491,122.95,0,0,0,0
5,501.954,1178.111,346.092,1326.531,0.991,1.749,0.915,2.208,-50.159,4.346,118.866,129.089,0,0,0,0
5.3125,555.901,1256.433,367.774,1422.289,1.124,2.088,1.012,2.578,-50.075,5.721,124.534,134.346,0,0,0,0
5.625,606.004,1326.569,385.231,1508.453,1.282,2.46,1.121,2.992,-49.203,7.141,129.32,138.548,0,0,0,0
5.9375,650.352,1385.957,397.31,1581.673,1.467,2.867,1.244,3.452,-47.481,8.595,133.054,141.533,0,0,0,0
6.25,686.952,1431.921,402.843,1638.47,1.679,3.308,1.378,3.957,-44.86,10.074,135.569,143.153,0,0,0,0
6.5625,713.792,1461.75,400.685,1675.339,1.917,3.782,1.525,4.506,-41.313,11.563,136.707,143.28,0,0,0,0
6.875,728.919,1472.789,389.766,1688.89,2.18,4.286,1.681,5.094,-36.831,13.049,136.327,141.816,0,0,0,0
7.1875,730.515,1462.55,369.143,1675.999,2.464,4.816,1.844,5.716,-31.43,14.515,134.305,138.696,0,0,0,0
7.5,716.987,1428.825,338.06,1633.982,2.767,5.367,2.012,6.365,-25.149,15.941,130.545,133.898,0,0,0,0
7.8125,687.062,1369.816,296.004,1560.791,3.081,5.93,2.18,7.029,-18.053,17.306,124.977,127.455,0,0,0,0
8.125,639.873,1284.259,242.765,1455.23,3.4,6.494,2.343,7.695,-10.231,18.586,117.568,119.467,0,0,0,0
8.4375,575.045,1171.543,178.484,1317.212,3.714,7.048,2.496,8.349,-1.797,19.755,108.321,110.123,0,0,0,0
8.75,492.762,1031.819,103.697,1148.137,4.014,7.577,2.632,8.969,7.114,20.783,97.281,99.731,0.001,0.006,0.032,0.033
9.0625,393.82,866.076,19.363,951.607,4.289,8.066,2.743,9.538,16.349,21.637,84.535,88.778,0.004,0.013,0.061,0.062
9.375,279.648,676.197,-73.126,735.386,4.525,8.497,2.823,10.032,25.739,22.283,70.213,78.031,0.011,0.02,0.085,0.088
9.6875,152.303,464.968,-171.951,518.612,4.71,8.854,2.864,10.43,35.102,22.684,54.488,68.67,0.021,0.027,0.104,0.11
10,14.43,236.043,-274.899,362.621,4.834,9.118,2.859,10.709,44.256,22.8,37.574,62.372,0.033,0.034,0.119,0.128
