"T.ms","PAA.X.radsec^2","PAA.Y.radsec^2","PAA.Z.radsec^2","PAA.R.radsec^2","PAV.X.radsec","PAV.Y.radsec","PAV.Z.radsec","PAV.R.radsec","PLA.X.msec^2","PLA.Y.msec^2","PLA.Z.msec^2","PLA.R.msec^2","PLV.X.msec","PLV.Y.msec","PLV.Z.msec","PLV.R.msec"
  0.0000,   -2.098,   8.628,  16.090,  18.377,   -1.426,  -1.713,  -2.787,   3.569,  -19.721,  12.919, -45.463,  51.212,    0.000,   0.000,   0.000,   0.000
  0.3125,   -3.460,  13.621,  24.176,  27.964,   -1.426,  -1.711,  -2.776,   3.559,  -19.896,  12.790, -45.103,  50.928,    0.000,   0.000,   0.000,   0.000
  0.6250,   -5.118,  19.503,  33.289,  38.919,   -1.427,  -1.706,  -2.763,   3.547,  -20.103,  12.679, -44.735,  50.657,    0.000,   0.000,   0.000,   0.000
  0.9375,   -6.990,  25.866,  42.700,  50.410,   -1.429,  -1.700,  -2.747,   3.532,  -20.330,  12.615, -44.403,  50.439,    0.000,   0.000,   0.000,   0.000
  1.2500,   -8.979,  32.178,  51.719,  61.571,   -1.432,  -1.691,  -2.729,   3.515,  -20.555,  12.625, -44.150,  50.310,    0.000,   0.000,   0.000,   0.000
  1.5625,  -11.007,  37.874,  59.880,  71.702,   -1.436,  -1.679,  -2.709,   3.496,  -20.753,  12.732, -44.012,  50.297,    0.000,   0.000,   0.000,   0.000
  1.8750,  -13.054,  42.406,  66.943,  80.312,   -1.441,  -1.666,  -2.687,   3.474,  -20.896,  12.954, -44.011,  50.413,    0.000,   0.000,   0.000,   0.000
  2.1875,  -15.163,  45.286,  72.843,  87.102,   -1.446,  -1.650,  -2.664,   3.452,  -20.961,  13.299, -44.159,  50.658,    0.000,   0.000,   0.000,   0.000
  2.5000,  -17.451,  46.134,  77.635,  91.979,   -1.452,  -1.634,  -2.640,   3.427,  -20.930,  13.768, -44.452,  51.025,    0.000,   0.000,   0.000,   0.000
  2.8125,  -20.089,  44.715,  81.454,  95.067,   -1.458,  -1.617,  -2.615,   3.403,  -20.793,  14.355, -44.878,  51.502,    0.000,   0.000,   0.000,   0.000
  3.1250,  -23.287,  40.979,  84.478,  96.737,   -1.465,  -1.601,  -2.589,   3.378,  -20.551,  15.048, -45.416,  52.071,    0.000,   0.000,   0.000,   0.000
  3.4375,  -27.270,  35.084,  86.902,  97.603,   -1.472,  -1.586,  -2.562,   3.354,  -20.213,  15.833, -46.038,  52.714,    0.000,   0.000,   0.000,   0.000
  3.7500,  -32.254,  27.409,  88.918,  98.478,   -1.481,  -1.574,  -2.535,   3.331,  -19.797,  16.691, -46.715,  53.411,    0.000,   0.000,   0.000,   0.000
  4.0625,  -38.425,  18.542,  90.703, 100.236,   -1.491,  -1.565,  -2.507,   3.310,  -19.328,  17.603, -47.410,  54.140,    0.000,   0.000,   0.000,   0.000
  4.3750,  -45.924,   9.231,  92.407, 103.601,   -1.504,  -1.560,  -2.479,   3.292,  -18.832,  18.551, -48.087,  54.874,    0.000,   0.000,   0.000,   0.000
  4.6875,  -54.831,   0.300,  94.157, 108.959,   -1.519,  -1.560,  -2.450,   3.277,  -18.335,  19.516, -48.710,  55.585,    0.000,   0.000,   0.000,   0.000
  5.0000,  -65.168,  -7.459,  96.065, 116.323,   -1.537,  -1.563,  -2.420,   3.265,  -17.862,  20.483, -49.242,  56.244,    0.000,   0.000,   0.000,   0.000
  5.3125,  -76.902, -13.381,  98.232, 125.469,   -1.558,  -1.570,  -2.390,   3.256,  -17.434,  21.441, -49.654,  56.826,   -0.006,   0.007,  -0.015,   0.018
  5.6250,  -89.958, -17.008, 100.753, 136.136,   -1.584,  -1.578,  -2.359,   3.250,  -17.073,  22.385, -49.920,  57.311,   -0.011,   0.013,  -0.031,   0.035
  5.9375, -104.243, -18.119, 103.718, 148.163,   -1.615,  -1.586,  -2.327,   3.246,  -16.792,  23.318, -50.028,  57.693,   -0.016,   0.021,  -0.047,   0.053
  6.2500, -119.656, -16.724, 107.204, 161.524,   -1.650,  -1.594,  -2.294,   3.244,  -16.603,  24.252, -49.975,  57.977,   -0.021,   0.028,  -0.062,   0.072
  6.5625, -136.085, -13.036, 111.279, 176.273,   -1.689,  -1.600,  -2.260,   3.244,  -16.512,  25.205, -49.774,  58.184,   -0.027,   0.036,  -0.078,   0.090
  6.8750, -153.395,  -7.416, 116.004, 192.463,   -1.734,  -1.604,  -2.225,   3.245,  -16.517,  26.197, -49.446,  58.344,   -0.032,   0.044,  -0.093,   0.108
  7.1875, -171.405,  -0.320, 121.436, 210.063,   -1.783,  -1.605,  -2.188,   3.247,  -16.614,  27.250, -49.023,  58.497,   -0.037,   0.052,  -0.109,   0.126
  7.5000, -189.872,   7.754, 127.629, 228.912,   -1.839,  -1.604,  -2.149,   3.252,  -16.789,  28.380, -48.538,  58.679,   -0.042,   0.061,  -0.124,   0.144
  7.8125, -208.495,  16.309, 134.630, 248.719,   -1.901,  -1.600,  -2.108,   3.258,  -17.028,  29.590, -48.024,  58.922,   -0.047,   0.070,  -0.139,   0.163
  8.1250, -226.927,  24.875, 142.468, 269.094,   -1.969,  -1.592,  -2.065,   3.268,  -17.312,  30.876, -47.511,  59.248,   -0.053,   0.079,  -0.154,   0.181
  8.4375, -244.792,  33.041, 151.149, 289.588,   -2.042,  -1.582,  -2.020,   3.280,  -17.623,  32.217, -47.021,  59.661,   -0.058,   0.089,  -0.169,   0.200
  8.7500, -261.706,  40.471, 160.647, 309.734,   -2.122,  -1.570,  -1.972,   3.295,  -17.943,  33.577, -46.574,  60.154,   -0.064,   0.099,  -0.183,   0.218
  9.0625, -277.284,  46.916, 170.894, 329.078,   -2.206,  -1.555,  -1.921,   3.313,  -18.259,  34.909, -46.183,  60.703,   -0.069,   0.110,  -0.198,   0.237
  9.3750, -291.164,  52.226, 181.783, 347.202,   -2.296,  -1.538,  -1.866,   3.334,  -18.560,  36.158, -45.854,  61.273,   -0.075,   0.121,  -0.212,   0.256
  9.6875, -303.007,  56.354, 193.168, 363.735,   -2.389,  -1.520,  -1.808,   3.359,  -18.842,  37.263, -45.592,  61.824,   -0.081,   0.133,  -0.227,   0.275
 10.0000, -312.510,  59.353, 204.863, 378.358,   -2.486,  -1.500,  -1.746,   3.388,  -19.103,  38.169, -45.399,  62.313,   -0.087,   0.144,  -0.241,   0.294
 10.3125, -319.418,  61.362, 216.662, 390.814,   -2.586,  -1.481,  -1.680,   3.421,  -19.345,  38.832, -45.274,  62.705,   -0.093,   0.157,  -0.255,   0.313
 10.6250, -323.544,  62.580, 228.338, 400.918,   -2.688,  -1.461,  -1.611,   3.457,  -19.570,  39.226, -45.215,  62.977,   -0.099,   0.169,  -0.269,   0.333
 10.9375, -324.804,  63.240, 239.658, 408.574,   -2.791,  -1.442,  -1.538,   3.498,  -19.779,  39.344, -45.217,  63.116,   -0.105,   0.181,  -0.283,   0.352
 11.2500, -323.249,  63.567, 250.384, 413.791,   -2.895,  -1.423,  -1.461,   3.541,  -19.971,  39.204, -45.269,  63.127,   -0.111,   0.193,  -0.297,   0.372
 11.5625, -319.090,  63.752, 260.281, 416.688,   -2.997,  -1.404,  -1.381,   3.586,  -20.143,  38.841, -45.359,  63.022,   -0.118,   0.205,  -0.311,   0.391
 11.8750, -312.698,  63.926, 269.128, 417.489,   -3.097,  -1.385,  -1.298,   3.632,  -20.288,  38.300, -45.472,  62.819,   -0.124,   0.218,  -0.326,   0.411
 12.1875, -304.577,  64.150, 276.739, 416.493,   -3.194,  -1.366,  -1.211,   3.679,  -20.397,  37.633, -45.590,  62.536,   -0.130,   0.229,  -0.340,   0.430
 12.5000, -295.312,  64.426, 282.983, 414.052,   -3.288,  -1.346,  -1.123,   3.726,  -20.460,  36.887, -45.695,  62.187,   -0.137,   0.241,  -0.354,   0.450
